id,text,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,dataset,platform,primary_anger,secondary_anger,primary_disgust,secondary_disgust,primary_fear,secondary_fear,primary_joy,secondary_joy,primary_sadness,secondary_sadness,primary_surprise,secondary_surprise,nulls
2017-En-21441,“Worry is a down payment on a problem you may never have'.  Joyce Meyer.  #motivation #leadership #worry,False,True,False,False,False,False,True,False,False,False,True,train,twitter,False,False,False,False,False,False,False,True,False,False,False,True,0
2017-En-31535,Whatever you decide to do make sure it makes you #happy.,False,False,False,False,True,True,True,False,False,False,False,train,twitter,False,False,False,False,False,False,True,True,False,False,False,False,0
2017-En-21068,"@Max_Kellerman  it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, ! #GOPATS",True,False,True,False,True,False,True,False,False,False,False,train,twitter,True,True,True,True,False,False,True,True,False,False,False,False,0
2017-En-31436,Accept the challenges so that you can literally even feel the exhilaration of victory.' -- George S. Patton 🐶,False,False,False,False,True,False,True,False,False,False,False,train,twitter,False,False,False,False,False,False,True,True,False,False,False,False,0
2017-En-22195,My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,True,False,True,False,False,False,False,False,False,False,False,train,twitter,True,True,True,True,False,False,False,False,False,False,False,False,0
2017-En-22190,No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu,False,False,False,False,True,False,False,False,False,False,False,train,twitter,False,False,False,False,False,False,True,True,False,False,False,False,0
2017-En-20221,Do you think humans have the sense for recognizing impending doom? ,False,True,False,False,False,False,False,True,False,False,False,train,twitter,False,False,False,False,False,False,False,True,False,True,False,False,0
2017-En-22180,"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",True,False,True,False,False,False,False,False,False,False,False,train,twitter,True,True,True,True,False,False,False,False,False,False,False,False,0
2017-En-41344,it's pretty depressing when u hit pan on ur favourite highlighter,False,False,True,False,False,False,False,False,True,False,False,train,twitter,False,False,True,True,False,False,False,False,True,True,False,False,0
2017-En-20759,@BossUpJaee but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,True,False,True,False,False,False,False,False,False,False,False,train,twitter,True,True,True,True,False,False,False,False,False,False,False,False,0
2017-En-40158,Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,False,False,True,False,False,False,False,True,True,False,False,train,twitter,False,False,True,True,False,False,False,False,True,True,False,False,0
2017-En-21744,And it's hard to dance with a devil on your back\nSo shake him off.,False,False,False,False,False,False,False,False,False,False,False,train,twitter,False,False,False,False,False,False,False,False,False,False,False,False,1
2017-En-31337,Tiller and breezy should do a collab album. Rapping and singing prolly be fire,False,False,False,False,True,True,False,False,False,False,False,train,twitter,False,False,False,False,False,False,True,True,False,False,False,False,0
2017-En-10902,S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,True,False,False,False,False,False,False,False,True,False,False,train,twitter,True,True,False,False,False,False,False,False,True,True,False,False,0
2017-En-11274,@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,True,False,True,False,False,False,False,False,False,False,False,train,twitter,True,True,True,True,False,False,False,False,False,False,False,False,0
2017-En-11097,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,True,False,True,False,False,False,False,False,True,False,False,train,twitter,True,True,True,True,False,False,False,False,True,True,False,False,0
2017-En-11475,@BitchestheCat Look at those teef! #growl,True,False,True,True,False,False,False,False,False,False,False,train,twitter,True,True,True,True,True,True,False,False,False,False,False,False,0
2017-En-10989,Star trek online has a update to download oh fuming yay,True,False,True,False,True,False,False,False,True,False,False,train,twitter,True,True,True,True,False,False,True,True,True,True,False,False,0
2017-En-10618,"The bitter the battle, the sweeter the victory...",False,False,False,False,True,False,True,False,False,False,False,train,twitter,False,False,False,False,False,False,True,True,False,False,False,False,0
2017-En-40212,i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,True,False,True,False,False,False,False,False,True,False,False,train,twitter,True,True,True,True,False,False,False,False,True,True,False,False,0
2017-En-21011,@NHLexpertpicks @usahockey USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke,True,False,True,False,False,False,False,False,False,False,False,train,twitter,True,True,True,True,False,False,False,False,False,False,False,False,0
2017-En-20349,#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @UN headquarters demanding Pak to stop exporting #terror into India,False,False,False,True,False,False,False,False,True,False,False,train,twitter,False,False,False,False,True,True,False,False,True,True,False,False,0
2017-En-40483,Awareness of time is awareness of time lost. #awareness #time ,False,False,False,False,True,True,True,False,False,False,False,train,twitter,False,False,False,False,False,False,True,True,False,False,False,False,0
2017-En-30807,Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.,True,False,True,False,False,False,False,False,False,False,False,train,twitter,True,True,True,True,False,False,False,False,False,False,False,False,0
2017-En-21400,@zorefx you guys will see what i did in the next video but its fucking horrid,True,False,True,True,False,False,False,False,True,False,False,train,twitter,True,True,True,True,True,True,False,False,True,True,False,False,0
2017-En-11184,What a fucking muppet.  @jRwild1  #stalker.,True,False,True,False,False,False,False,False,False,False,False,train,twitter,True,True,True,True,False,False,False,False,False,False,False,False,0
2017-En-30230,@adamrodricks I like your optimism!,False,False,False,False,True,False,True,False,False,False,False,train,twitter,False,False,False,False,False,False,True,True,False,False,False,False,0
2017-En-11421,My cat is bloody lucky the RSPCA weren't open at 3am last night!!! #fuming 😡🐱,True,False,True,False,True,False,False,False,False,False,False,train,twitter,True,True,True,True,False,False,True,True,False,False,False,False,0
2017-En-21740,@FaithHill I remember it well #happy #afraid #Positive,False,False,False,True,True,True,True,False,False,False,False,train,twitter,False,False,False,False,True,True,True,True,False,False,False,False,0
2017-En-10966,Autocorrect changes ''em' to 'me' which I resent greatly,True,False,True,False,False,False,False,False,False,False,False,train,twitter,True,True,True,True,False,False,False,False,False,False,False,False,0
2017-En-10503,"I mean I'm not done watching the pilot, but it's nice to see a group of actors perform without story lines dripping relentless nihilism.",True,False,True,False,True,False,True,False,False,False,False,train,twitter,True,True,True,True,False,False,True,True,False,False,False,False,0
2017-En-21716,@WaterboysAS I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,True,False,True,True,False,False,False,False,False,False,False,train,twitter,True,True,True,True,True,True,False,False,False,False,False,False,0
2017-En-20316,@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. ,False,False,False,True,True,False,False,False,True,False,False,train,twitter,False,False,False,False,True,True,True,True,True,True,False,False,0
2017-En-10936,@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,True,False,True,False,False,False,False,False,True,False,False,train,twitter,True,True,True,True,False,False,False,False,True,True,False,False,0
2017-En-30541,You have to find a way to top yourself. #glee,False,False,False,False,True,True,True,False,False,False,False,train,twitter,False,False,False,False,False,False,True,True,False,False,False,False,0
2017-En-20393,@Aliki111 Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,True,False,True,False,False,False,False,False,False,False,False,train,twitter,True,True,True,True,False,False,False,False,False,False,False,False,0
2017-En-30296,#smile every morning to a positive head start with your #clients relations,False,False,False,False,True,False,True,False,False,False,False,train,twitter,False,False,False,False,False,False,True,True,False,False,False,False,0
2017-En-20473,I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.,False,False,False,False,False,False,True,False,False,False,False,train,twitter,False,False,False,False,False,False,False,True,False,False,False,False,0
2017-En-10565,@SlaveGuinevere its more of a little prick than a sting .......... but you have to come to Tennessee to get it1,False,False,False,False,False,False,False,False,False,False,False,train,twitter,False,False,False,False,False,False,False,False,False,False,False,False,1
2017-En-21752,@imtarakate Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,False,False,True,True,False,False,True,False,False,False,True,train,twitter,False,False,True,True,True,True,False,True,False,False,False,True,0
